target,group,signed_rec,A1_random_signed,A1_random_signcons,A4_metadata_signed,A4_metadata_signcons,A5_text_signed,A5_text_signcons
pH,AcidBase,-0.018,-0.011,0.83,-0.014,0.67,-0.014,0.67
HR,HeartRate,0.0,0.033,0.83,0.005,0.67,0.011,0.67
Temp,Temperature,0.0,-0.01,0.5,-0.019,0.83,-0.069,0.83
Lactate,Metabolite,0.2,0.056,0.5,-0.075,0.67,0.068,0.83
Glucose,Metabolite,0.2,0.058,0.83,0.118,1.0,0.141,1.0
WBC,Hematology,0.254,-0.017,0.67,-0.037,0.83,-0.024,0.67
Platelets,Hematology,0.254,0.02,0.67,0.006,0.5,0.023,0.5
MAP,BloodPressure,0.502,0.223,0.83,0.531,1.0,0.376,1.0
DiasABP,BloodPressure,0.605,0.256,0.83,0.543,1.0,0.508,1.0
Creatinine,RenalChem,0.683,-0.02,0.67,0.265,1.0,0.16,1.0
BUN,RenalChem,0.683,-0.021,0.67,0.204,1.0,0.005,0.5
HCO3,AcidBase,0.702,-0.036,0.67,-0.212,1.0,-0.214,1.0
PaCO2,AcidBase,0.702,-0.029,0.83,0.036,0.83,0.071,1.0
AST,Liver,0.855,0.067,1.0,0.203,1.0,-0.008,0.67
ALT,Liver,0.855,0.055,0.67,0.171,0.83,0.19,1.0
NIMAP,BloodPressure,0.885,0.425,0.83,0.817,1.0,0.662,1.0
NIDiasABP,BloodPressure,0.885,0.338,0.67,0.682,1.0,0.702,1.0
