target,K,fresh,semantic
XMEAS16,0,0.813,0.905
XMEAS16,1,0.787,0.862
XMEAS16,2,0.903,0.906
XMEAS16,5,0.914,0.91
XMEAS16,10,0.913,0.907
XMEAS16,20,0.906,0.912
XMEAS18,0,0.171,0.165
XMEAS18,1,0.133,0.145
XMEAS18,2,0.118,0.131
XMEAS18,5,0.126,0.125
XMEAS18,10,0.141,0.133
XMEAS18,20,0.141,0.129
XMEAS22,0,0.74,0.739
XMEAS22,1,0.803,0.797
XMEAS22,2,0.821,0.818
XMEAS22,5,0.812,0.816
XMEAS22,10,0.807,0.806
XMEAS22,20,0.806,0.805
XMV11,0,0.94,0.953
XMV11,1,0.963,0.953
XMV11,2,0.914,0.895
XMV11,5,0.883,0.909
XMV11,10,0.9,0.908
XMV11,20,0.932,0.94
