target,type,signed_rec,A1_random_signed,A1_random_absr,A1_random_signcons,A1_random_within,A4_metadata_signed,A4_metadata_absr,A4_metadata_signcons,A4_metadata_within,A5_text_signed,A5_text_absr,A5_text_signcons,A5_text_within,A6_metaTopo_signed,A6_metaTopo_absr,A6_metaTopo_signcons,A6_metaTopo_within
XMEAS21,Temperature,-0.522,-0.211,0.368,0.62,-0.104,-0.432,0.432,1.0,-0.134,-0.093,0.382,0.62,0.114,-0.356,0.356,1.0,-0.146
XMEAS10,Flow,-0.501,0.331,0.631,0.75,0.12,0.333,0.381,0.75,0.185,0.673,0.673,1.0,0.476,-0.172,0.483,0.75,0.148
XMEAS14,Flow,-0.116,0.033,0.065,0.75,0.005,-0.011,0.011,1.0,-0.013,0.007,0.026,0.5,0.025,-0.021,0.022,0.88,-0.035
XMEAS18,Temperature,-0.06,0.052,0.142,0.75,-0.026,-0.174,0.174,1.0,-0.067,-0.016,0.144,0.62,0.289,-0.177,0.177,1.0,-0.084
XMEAS9,Temperature,-0.047,-0.022,0.111,0.62,-0.081,-0.142,0.142,1.0,-0.148,-0.092,0.138,0.75,-0.081,-0.149,0.149,1.0,-0.181
XMEAS12,Level,-0.045,-0.015,0.053,0.62,-0.043,-0.053,0.053,1.0,-0.079,-0.04,0.054,0.88,-0.061,-0.057,0.057,1.0,-0.04
XMEAS8,Level,-0.045,-0.009,0.203,0.5,-0.047,-0.032,0.152,0.62,-0.111,-0.328,0.328,1.0,-0.222,-0.011,0.136,0.75,-0.141
XMEAS15,Level,0.033,0.006,0.114,0.62,-0.024,-0.145,0.145,1.0,-0.062,-0.127,0.127,1.0,-0.05,-0.115,0.115,1.0,-0.022
XMEAS5,Flow,0.088,-0.006,0.008,0.88,-0.008,0.005,0.005,1.0,0.01,0.002,0.005,0.75,0.001,0.006,0.006,1.0,0.004
XMEAS17,Flow,0.262,0.005,0.273,0.5,0.018,-0.269,0.269,1.0,-0.121,0.051,0.239,0.62,0.096,-0.226,0.287,0.88,-0.103
XMEAS30,Composition,0.734,-0.093,0.284,0.62,-0.058,0.276,0.276,1.0,-0.071,0.38,0.38,1.0,0.36,0.182,0.182,1.0,-0.156
XMEAS11,Temperature,0.927,0.081,0.786,0.5,0.178,0.3,0.579,0.75,0.107,0.804,0.804,1.0,0.126,0.419,0.571,0.88,-0.244
XMEAS22,Temperature,0.927,-0.005,0.738,0.5,0.112,-0.747,0.747,1.0,-0.27,0.528,0.711,0.88,0.282,0.645,0.645,1.0,0.016
XMEAS25,Composition,0.993,0.223,0.785,0.62,0.256,-0.898,0.898,1.0,-0.464,0.89,0.89,1.0,0.392,-0.877,0.877,1.0,-0.317
XMEAS16,Pressure,0.993,0.189,0.881,0.62,-0.042,0.854,0.854,1.0,0.345,0.959,0.959,1.0,0.804,0.825,0.825,1.0,0.28
XMEAS13,Pressure,1.0,0.148,0.774,0.62,0.021,0.823,0.823,1.0,0.413,0.93,0.93,1.0,0.717,0.804,0.804,1.0,0.5
XMEAS7,Pressure,1.0,0.538,0.813,0.75,0.236,0.816,0.816,1.0,0.355,0.913,0.913,1.0,0.718,0.882,0.882,1.0,0.464
