query,mtype,n_siblings,max_sim,transfer_skill
XMEAS16,Pressure,2,0.22360679507255554,0.9190905451774597
XMEAS18,Temperature,3,0.28867512941360474,-0.16878214478492737
XMEAS22,Temperature,3,0.3333333432674408,-0.7405971169471741
XMEAS15,Level,2,0.22360679507255554,-0.08058344572782516
XMEAS17,Flow,8,1.0,-0.08788423985242844
XMEAS14,Flow,8,0.235702246427536,-0.009275392815470695
XMEAS37,Composition,17,1.0,0.08112577646970749
XMEAS30,Composition,17,1.0,0.35981071591377256
XMV9,Actuator,9,1.0,0.32507391571998595
XMV11,Actuator,9,0.3333333432674408,0.9309949159622193
